epoch,train_acc,train_loss,test_acc,test_loss
2050,40.625,0.611998,38.6018,0.695665
2060,56.25,0.548777,48.6322,0.669138
2070,50,0.586112,47.4164,0.675668
2080,50,0.582896,40.1216,0.680785
2090,40.625,0.677961,48.9362,0.675058
2100,46.875,0.591299,37.9939,0.695053
2110,56.25,0.646307,50.4559,0.674775
2120,59.375,0.595088,47.4164,0.676299
2130,28.125,0.696364,47.4164,0.679292
2140,62.5,0.552367,47.4164,0.671274
2150,62.5,0.562244,46.8085,0.677208
2160,53.125,0.599136,49.848,0.671772
2170,62.5,0.617154,47.1125,0.673639
2180,34.375,0.605133,38.9058,0.67864
2190,56.25,0.57701,48.3283,0.677699
2200,81.25,0.500366,48.9362,0.671901
2210,43.75,0.596467,49.848,0.670302
2220,53.125,0.621564,48.6322,0.674543
2230,46.875,0.599429,46.8085,0.676509
2240,59.375,0.626635,50.4559,0.67717
2250,50,0.685135,50.152,0.669031
2260,62.5,0.522938,47.4164,0.678872
2270,37.5,0.617765,50.4559,0.666878
2280,75,0.50313,49.2401,0.670051
2290,40.625,0.683357,46.8085,0.676591
2300,46.875,0.524054,40.1216,0.676426
2310,56.25,0.588622,44.3769,0.679104
2320,43.75,0.589534,39.2097,0.681597
2330,50,0.638752,50.152,0.67202
2340,37.5,0.730872,48.0243,0.67573
2350,53.125,0.57621,48.0243,0.671406
2360,50,0.642255,48.6322,0.680352
2370,34.375,0.657065,38.6018,0.687347
2380,46.875,0.607936,47.7204,0.667237
2390,53.125,0.569689,48.3283,0.668827
2400,65.625,0.535063,51.0638,0.669485
2410,50,0.581093,48.6322,0.673192
2420,46.875,0.599654,45.8967,0.679057
2430,34.375,0.648593,45.5927,0.682381
2440,56.25,0.591961,47.4164,0.684311
2450,50,0.550716,49.2401,0.669312
2460,53.125,0.637516,50.152,0.664618
2470,46.875,0.57934,48.9362,0.665842
2480,50,0.607093,46.8085,0.677642
2490,62.5,0.500542,45.2888,0.698639
2500,46.875,0.621198,47.7204,0.675177
2510,62.5,0.598506,48.9362,0.668056
2520,46.875,0.617869,48.9362,0.668544
2530,40.625,0.683731,49.5441,0.66688
2540,59.375,0.568348,50.4559,0.673154
2550,62.5,0.538655,48.6322,0.666092
2560,50,0.601391,47.7204,0.670554
2570,71.875,0.539348,49.848,0.664944
2580,43.75,0.61282,48.6322,0.668163
2590,50,0.549578,48.3283,0.667005
2600,56.25,0.601242,40.1216,0.68281
2610,46.875,0.535816,39.2097,0.673736
2620,53.125,0.531672,49.5441,0.662837
2630,53.125,0.592767,48.0243,0.664966
2640,56.25,0.613288,48.9362,0.665185
2650,59.375,0.53504,40.1216,0.671104
2660,37.5,0.639784,47.4164,0.671649
2670,53.125,0.545099,42.2492,0.66677
2680,53.125,0.535111,47.4164,0.674955
2690,50,0.59738,49.848,0.669429
2700,50,0.569581,47.4164,0.671571
2710,46.875,0.591289,39.8176,0.672688
2720,43.75,0.558724,50.7599,0.666628
2730,50,0.571164,49.848,0.668429
2740,56.25,0.597796,47.4164,0.687063
2750,50,0.656186,49.848,0.665698
2760,37.5,0.641053,39.2097,0.683532
2770,43.75,0.654726,50.152,0.677785
2780,40.625,0.635355,38.2979,0.722274
2790,56.25,0.550722,40.7295,0.668385
2800,59.375,0.518033,49.848,0.665394
2810,37.5,0.640358,48.9362,0.666654
2820,40.625,0.636357,48.6322,0.6632
2830,71.875,0.495287,49.848,0.673121
2840,50,0.588495,48.0243,0.665898
2850,53.125,0.566409,47.7204,0.665995
2860,50,0.60744,49.2401,0.670741
2870,62.5,0.486954,47.1125,0.677475
2880,59.375,0.55016,48.9362,0.666389
2890,50,0.676825,40.1216,0.672493
2900,50,0.594368,48.6322,0.66398
2910,43.75,0.613688,39.5137,0.680506
2920,62.5,0.490746,48.3283,0.666868
2930,37.5,0.67262,49.848,0.664391
2940,50,0.601363,48.6322,0.694273
2950,59.375,0.549394,49.2401,0.661386
2960,46.875,0.583592,49.848,0.66432
2970,46.875,0.620934,47.7204,0.681329
2980,46.875,0.611485,48.6322,0.662754
2990,53.125,0.592656,51.3678,0.663828
3000,56.25,0.526384,48.9362,0.666342
3010,62.5,0.554896,49.5441,0.666377
3020,50,0.600558,47.7204,0.680995
3030,43.75,0.594712,49.848,0.667516
3040,53.125,0.550815,51.3678,0.662549
3050,40.625,0.622105,49.5441,0.673579
3060,46.875,0.632114,48.6322,0.67027
3070,46.875,0.577228,50.7599,0.663633
3080,50,0.592117,48.9362,0.662693
3090,40.625,0.578431,49.848,0.665625
3100,37.5,0.624641,40.7295,0.668236
3110,43.75,0.644604,51.3678,0.662546
3120,40.625,0.670024,48.3283,0.673735
3130,68.75,0.511187,50.4559,0.664622
3140,56.25,0.644477,49.2401,0.666624
3150,46.875,0.582258,51.6717,0.665562
3160,62.5,0.529,48.0243,0.666928
3170,40.625,0.642714,40.4255,0.690191
3180,56.25,0.588654,50.4559,0.671427
3190,56.25,0.599844,48.6322,0.679481
3200,62.5,0.50385,48.3283,0.668194
3210,62.5,0.521279,48.0243,0.665885
3220,43.75,0.620035,49.848,0.665233
3230,46.875,0.606759,50.152,0.662349
3240,59.375,0.592983,50.152,0.659907
3250,46.875,0.600528,48.3283,0.668812
3260,37.5,0.609147,47.7204,0.66529
3270,43.75,0.673485,48.9362,0.672881
3280,43.75,0.555876,49.2401,0.664678
3290,62.5,0.554646,50.152,0.663045
3300,40.625,0.587937,40.1216,0.672034
3310,56.25,0.62879,49.5441,0.666621
3320,56.25,0.578004,48.3283,0.66608
3330,40.625,0.733232,49.2401,0.669392
3340,46.875,0.596641,40.1216,0.675067
3350,68.75,0.513695,47.4164,0.672178
3360,53.125,0.579977,51.0638,0.66208
3370,50,0.645757,50.152,0.661661
3380,53.125,0.582488,51.3678,0.664989
3390,59.375,0.510512,48.6322,0.666708
3400,56.25,0.575417,51.0638,0.670903
3410,50,0.614515,49.848,0.661354
3420,53.125,0.595588,41.6413,0.667862
3430,56.25,0.591558,48.6322,0.668167
3440,43.75,0.598445,51.3678,0.664902
3450,40.625,0.629324,51.0638,0.663912
3460,68.75,0.477585,47.7204,0.674117
3470,56.25,0.566871,49.2401,0.665572
3480,43.75,0.623495,48.9362,0.66344
3490,59.375,0.526289,48.0243,0.680854
3500,65.625,0.521831,49.5441,0.673865
3510,59.375,0.598467,51.0638,0.672263
3520,56.25,0.611612,48.6322,0.67243
3530,50,0.566429,50.152,0.661426
3540,59.375,0.550135,51.9757,0.658408
3550,50,0.595461,50.4559,0.67997
3560,62.5,0.510188,52.8875,0.662993
3570,62.5,0.529489,50.4559,0.665631
3580,65.625,0.4748,48.0243,0.664422
3590,50,0.593417,51.0638,0.657487
3600,46.875,0.552206,51.3678,0.660566
3610,62.5,0.529425,51.3678,0.658012
3620,53.125,0.578953,51.0638,0.656913
3630,53.125,0.559388,50.4559,0.657059
3640,56.25,0.560519,50.4559,0.657095
3650,46.875,0.662599,51.9757,0.663233
3660,65.625,0.485214,48.3283,0.669685
3670,56.25,0.582461,50.7599,0.661902
3680,62.5,0.568043,49.5441,0.669051
3690,50,0.605656,52.2796,0.656871
3700,56.25,0.557311,51.0638,0.658338
3710,56.25,0.527984,50.7599,0.661193
3720,62.5,0.563801,49.2401,0.664544
3730,59.375,0.570171,51.6717,0.661022
3740,65.625,0.599519,49.5441,0.678528
3750,65.625,0.512799,50.7599,0.664972
3760,40.625,0.663014,53.1915,0.657922
3770,50,0.549609,49.2401,0.66259
3780,56.25,0.629611,48.9362,0.663595
3790,37.5,0.663496,49.5441,0.66433
3800,56.25,0.569822,50.7599,0.667202
3810,65.625,0.537444,50.4559,0.665111
3820,62.5,0.53315,48.6322,0.6635
3830,50,0.590613,52.2796,0.65512
3840,71.875,0.520985,52.2796,0.659461
3850,56.25,0.557375,51.3678,0.658712
3860,50,0.564834,40.4255,0.663992
3870,56.25,0.543935,50.7599,0.662099
3880,50,0.559617,51.9757,0.665274
3890,50,0.621008,52.8875,0.65651
3900,46.875,0.614799,50.7599,0.661487
3910,28.125,0.572985,41.6413,0.666174
3920,56.25,0.588275,52.8875,0.65742
3930,46.875,0.632339,51.0638,0.657348
3940,53.125,0.509022,51.3678,0.677675
